TID GID GT TTy ReqT TAr TT Res
268	 117	 1	 C	 117	 117	 1	 B	
269	 74	 2	 D	 74	 111	 8	 S	
270	 85	 2	 P	 85	 85	 35	 A	
271	 115	 3	 A	 115	 115	 5	 B	
272	 112	 1	 D	 112	 114	 6	 S	
273	 119	 1	 C	 119	 119	 2	 A	
274	 85	 2	 C	 85	 120	 1	 B	
275	 111	 3	 D	 111	 115	 6	 S	
276	 120	 1	 C	 120	 120	 2	 A	
277	 78	 2	 D	 78	 115	 7	 S	
278	 115	 3	 C	 115	 120	 2	 B	
279	 93	 5	 D	 93	 116	 7	 S	
280	 116	 1	 D	 116	 117	 7	 S	
281	 118	 3	 A	 118	 118	 6	 B	
282	 86	 2	 P	 86	 86	 39	 A	
283	 117	 1	 D	 117	 118	 7	 S	
284	 123	 1	 C	 123	 123	 2	 B	
285	 119	 1	 D	 119	 121	 5	 S	
286	 86	 2	 C	 86	 125	 1	 B	
287	 118	 3	 C	 118	 124	 2	 A	
288	 85	 2	 D	 85	 121	 6	 S	
289	 125	 1	 C	 125	 125	 2	 B	
290	 120	 1	 D	 120	 122	 6	 S	
291	 127	 1	 C	 127	 127	 1	 B	
292	 87	 2	 P	 87	 87	 42	 A	
293	 115	 3	 D	 115	 122	 7	 S	
294	 128	 1	 C	 128	 128	 1	 B	
295	 123	 1	 D	 123	 125	 5	 S	
296	 87	 2	 C	 87	 129	 1	 A	
297	 129	 1	 C	 129	 129	 1	 B	
298	 118	 3	 D	 118	 126	 5	 S	
299	 131	 1	 C	 131	 131	 1	 B	
300	 86	 2	 D	 86	 126	 6	 S	
301	 90	 4	 P	 90	 90	 43	 A	
302	 132	 1	 C	 132	 132	 1	 B	
303	 125	 1	 D	 125	 127	 6	 S	
304	 127	 1	 D	 127	 128	 6	 S	
305	 90	 4	 C	 90	 133	 1	 A	
306	 133	 3	 A	 133	 133	 2	 B	
307	 128	 1	 D	 128	 129	 6	 S	
308	 87	 2	 D	 87	 130	 6	 S	
309	 133	 3	 C	 133	 135	 1	 B	
310	 104	 2	 P	 104	 104	 33	 A	
311	 129	 1	 D	 129	 130	 7	 S	
312	 136	 1	 C	 136	 136	 1	 B	
313	 131	 1	 D	 131	 132	 6	 S	
314	 137	 1	 C	 137	 137	 1	 B	
315	 104	 2	 C	 104	 137	 1	 A	
316	 105	 4	 Q	 105	 105	 34	 S	
317	 138	 5	 A	 138	 138	 2	 B	
318	 132	 1	 D	 132	 133	 7	 S	
319	 105	 4	 P	 105	 105	 36	 A	
320	 139	 1	 C	 139	 139	 2	 B	
321	 90	 4	 D	 90	 134	 7	 S	
322	 133	 3	 D	 133	 136	 6	 S	
323	 105	 4	 C	 105	 141	 1	 A	
324	 141	 1	 C	 141	 141	 1	 B	
325	 136	 1	 D	 136	 137	 6	 S	
326	 142	 1	 C	 142	 142	 1	 A	
327	 104	 2	 D	 104	 138	 6	 S	
328	 140	 3	 A	 140	 140	 4	 B	
329	 137	 1	 D	 137	 138	 7	 S	
330	 140	 3	 C	 140	 144	 1	 B	
331	 108	 2	 P	 108	 108	 38	 A	
332	 139	 1	 D	 139	 141	 5	 S	
333	 144	 1	 C	 144	 144	 2	 B	
334	 108	 2	 C	 108	 146	 1	 A	
335	 113	 5	 Q	 113	 113	 34	 S	
336	 105	 4	 D	 105	 142	 6	 S	
337	 113	 5	 C	 113	 147	 1	 A	
338	 143	 3	 A	 143	 143	 5	 B	
339	 143	 3	 C	 143	 148	 1	 B	
340	 147	 1	 C	 147	 147	 2	 A	
341	 138	 5	 Q	 138	 138	 11	 S	
