TID GID GT TTy ReqT TAr TT Res
205	 88	 1	 D	 88	 90	 2	 S	 prioritize:0	 
206	 81	 5	 A	 81	 81	 12	 B	 prioritize:0	
207	 66	 4	 D	 66	 90	 3	 S	 prioritize:0	 
208	 90	 4	 P	 90	 90	 4	 A	 prioritize:1	 
209	 92	 1	 C	 92	 92	 2	 B	 prioritize:0	
210	 75	 5	 Q	 75	 75	 19	 S	 prioritize: 0	 
211	 90	 4	 C	 90	 94	 1	 A	 prioritize:1	
212	 94	 1	 C	 94	 94	 1	 B	 prioritize:0	
213	 89	 1	 D	 89	 91	 4	 S	 prioritize:0	 
214	 75	 5	 C	 75	 94	 2	 A	 prioritize:0	
215	 90	 4	 D	 90	 95	 1	 S	 prioritize:1	 
216	 95	 1	 C	 95	 95	 1	 B	 prioritize:0	
217	 79	 3	 D	 79	 91	 6	 S	 prioritize:0	 
218	 96	 1	 C	 96	 96	 1	 B	 prioritize:0	
219	 92	 1	 D	 92	 94	 4	 S	 prioritize:0	 
220	 97	 1	 C	 97	 97	 1	 B	 prioritize:0	
221	 69	 2	 P	 69	 69	 30	 A	 prioritize:0	 
222	 94	 1	 D	 94	 95	 4	 S	 prioritize:0	 
223	 98	 1	 C	 98	 98	 1	 B	 prioritize:0	
224	 69	 2	 C	 69	 99	 1	 A	 prioritize:0	
225	 75	 5	 D	 75	 96	 4	 S	 prioritize:0	 
226	 91	 3	 A	 91	 91	 10	 B	 prioritize:0	
227	 95	 1	 D	 95	 96	 5	 S	 prioritize:0	 
228	 96	 1	 D	 96	 97	 5	 S	 prioritize:0	 
229	 100	 1	 C	 100	 100	 2	 B	 prioritize:0	
230	 70	 4	 P	 70	 70	 33	 A	 prioritize:0	 
231	 97	 1	 D	 97	 98	 5	 S	 prioritize:0	 
232	 101	 1	 C	 101	 101	 2	 B	 prioritize:0	
233	 91	 3	 C	 91	 101	 3	 A	 prioritize:0	
234	 98	 1	 D	 98	 99	 5	 S	 prioritize:0	 
235	 102	 1	 C	 102	 102	 2	 B	 prioritize:0	
236	 70	 4	 C	 70	 103	 2	 A	 prioritize:0	
237	 69	 2	 D	 69	 100	 5	 S	 prioritize:0	 
238	 103	 1	 C	 103	 103	 2	 B	 prioritize:0	
239	 81	 5	 Q	 81	 81	 25	 S	 prioritize: 0	 
240	 93	 5	 A	 93	 93	 14	 B	 prioritize:0	
241	 100	 1	 D	 100	 102	 5	 S	 prioritize:0	 
242	 74	 2	 P	 74	 74	 34	 A	 prioritize:0	 
243	 101	 1	 D	 101	 103	 5	 S	 prioritize:0	 
244	 106	 1	 C	 106	 106	 2	 B	 prioritize:0	
245	 81	 5	 C	 81	 106	 3	 A	 prioritize:0	
246	 91	 3	 D	 91	 104	 5	 S	 prioritize:0	 
247	 107	 1	 C	 107	 107	 2	 B	 prioritize:0	
248	 74	 2	 C	 74	 108	 2	 A	 prioritize:0	
249	 102	 1	 D	 102	 104	 6	 S	 prioritize:0	 
250	 109	 1	 C	 109	 109	 1	 B	 prioritize:0	
251	 70	 4	 D	 70	 105	 6	 S	 prioritize:0	 
252	 110	 1	 C	 110	 110	 1	 B	 prioritize:0	
253	 103	 1	 D	 103	 105	 7	 S	 prioritize:0	 
254	 78	 2	 P	 78	 78	 35	 A	 prioritize:0	 
255	 99	 3	 A	 99	 99	 14	 B	 prioritize:0	
256	 106	 1	 D	 106	 108	 5	 S	 prioritize:0	 
257	 112	 1	 C	 112	 112	 2	 A	 prioritize:0	
258	 78	 2	 C	 78	 113	 1	 B	 prioritize:0	
259	 93	 5	 Q	 93	 93	 21	 S	 prioritize: 0	 
260	 99	 3	 C	 99	 113	 2	 A	 prioritize:0	
261	 81	 5	 D	 81	 109	 6	 S	 prioritize:0	 
262	 93	 5	 C	 93	 114	 2	 A	 prioritize:0	
263	 111	 3	 A	 111	 111	 5	 B	 prioritize:0	
264	 107	 1	 D	 107	 109	 7	 S	 prioritize:0	 
265	 116	 1	 C	 116	 116	 1	 B	 prioritize:0	
266	 74	 2	 D	 74	 110	 7	 S	 prioritize:0	 
267	 111	 3	 C	 111	 116	 2	 B	 prioritize:0	
268	 109	 1	 D	 109	 110	 8	 S	 prioritize:0	 
269	 85	 2	 P	 85	 85	 34	 A	 prioritize:0	 
270	 117	 1	 C	 117	 117	 2	 B	 prioritize:0	
271	 110	 1	 D	 110	 111	 8	 S	 prioritize:0	 
272	 85	 2	 C	 85	 119	 1	 A	 prioritize:0	
273	 119	 1	 C	 119	 119	 1	 B	 prioritize:0	
274	 112	 1	 D	 112	 114	 6	 S	 prioritize:0	 
275	 78	 2	 D	 78	 114	 7	 S	 prioritize:0	 
276	 113	 5	 A	 113	 113	 9	 B	 prioritize:0	
277	 99	 3	 D	 99	 115	 7	 S	 prioritize:0	 
278	 86	 2	 P	 86	 86	 37	 A	 prioritize:0	 
279	 93	 5	 D	 93	 116	 7	 S	 prioritize:0	 
280	 86	 2	 C	 86	 123	 1	 A	 prioritize:0	
281	 115	 3	 A	 115	 115	 9	 B	 prioritize:0	
282	 116	 1	 D	 116	 117	 7	 S	 prioritize:0	 
283	 115	 3	 C	 115	 124	 1	 B	 prioritize:0	
284	 111	 3	 D	 111	 118	 7	 S	 prioritize:0	 
285	 117	 1	 D	 117	 119	 7	 S	 prioritize:0	 
286	 87	 2	 P	 87	 87	 40	 A	 prioritize:0	 
287	 118	 3	 A	 118	 118	 9	 B	 prioritize:0	
288	 85	 2	 D	 85	 120	 7	 S	 prioritize:0	 
289	 87	 2	 C	 87	 127	 1	 A	 prioritize:0	
290	 118	 3	 C	 118	 127	 1	 B	 prioritize:0	
291	 119	 1	 D	 119	 120	 8	 S	 prioritize:0	 
292	 86	 2	 D	 86	 124	 5	 S	 prioritize:0	 
293	 115	 3	 D	 115	 125	 5	 S	 prioritize:0	 
294	 104	 2	 P	 104	 104	 27	 A	 prioritize:0	 
295	 87	 2	 D	 87	 128	 3	 S	 prioritize:0	 
296	 104	 2	 C	 104	 131	 1	 B	 prioritize:0	
297	 118	 3	 D	 118	 128	 4	 S	 prioritize:0	 
298	 104	 2	 D	 104	 132	 1	 S	 prioritize:0	 
299	 105	 4	 P	 105	 105	 29	 A	 prioritize:0	 
